Id,Nama,Gambar,Lokasi,Alamat,Operasional,Makanan,Masakan,Halal,Fasilitas
32,Warung Nasi Bebek Sinjay,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-1280x720-FIT_AND_TRIM-efa24c3b50570ebb8353b265588582c4.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Batununggal,"Jl. Soekarno Hatta No. 618, Manjahlega, Rancasari, Bandung",09.00 - 22.00,Bebek: Ayam Goreng: Nasi,Indonesia,?,Bawa Pulang
33,Daisuki,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-4cb36af26d5aa7c5a4eecd4dde02fa44.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Lantai .3, Jl. Soekarno Hatta no. 590, Bandung",10.00 - 22.00,BBQ: Udon: Sukiyaki,Jepang,?,Bawa Pulang
34,Harliman Boulangerie Patisserie,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_524-720x900-FIT_AND_TRIM-b7012bf55f3c7c34d0f7c607687fa2a9.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Bandung Kidul,"Jl. Batununggal Indah Raya no. 164, Bandung",09.00 - 21.00,Kue: Dessert,Barat,?,Bawa Pulang
35,Gu-I Korean Grill,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-6d64b3ac58608a670c3233e91d23d5c3.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Batununggal,"Jl. Batununggal Indah Raya No.425 - 42, Bandung",11.30 - 21.30,BBQ,Korea,?,Bawa Pulang
36,Tanduk Cau,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-720x960-FIT_AND_TRIM-ae794a3f89778401b6cb0033a6e93f87.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Batununggal,"Foodlife Griya Batununggal, Jl. Batununggal Indah No. 1, Bandung",10.00 - 22.00,Camilan,Indonesia,?,Bawa Pulang
37,High School Coffee,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_hig-943x720-FIT_AND_TRIM-a99b11f294fc80e38aac3af74c19e5f5.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Batununggal,"Jl. Batununggal Indah II No. 31A, Batununggal, Bandung Kidul, Bandung",09.00 - 21.00,Minuman: Kopi: Teh,Indonesia,?,Bawa Pulang: Wifi
38,RM. Bakul Daun,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-b21872437d0f415695039ae9b6959447.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Batununggal,"Jl. Terusan Buah Batu No. 195, Bandung",09.00 - 20.00,Rendang: Ayam Goreng: Gulai,Padang,?,Bawa Pulang: Area Merokok
39,Ayam Bakar 27 & Sate Cilampeni,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-9e63e82884799170e72b438c489531cc.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Blok G No. 1, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Soto: Ayam Goreng: Nasi Goreng,Indonesia,?,Bawa Pulang
40,X Crepes,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-720x960-FIT_AND_TRIM-373b2fbb15be56751e6edad9a5187116.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Lantai 2, Food Court, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Crepes,Barat,?,Bawa Pulang
41,Chicken University,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-a233e30aecadd49cfb85edb1aad43025.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Kiaracondong No. 305, Kebun Kangkung, Kiaracondong, Bandung",11.00 - 21.00,Ayam Goreng Tepung: Sup,Barat,?,Bawa Pulang: Parkir: Wifi: Reservasi
42,MBS Hotplate,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x1280-FIT_AND_TRIM-ccc545f134d5192d762d0bc015725c3f.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Prama Toserba,"Prama Toserba, Lantai 2, Jl. Babakan Sari 1 No.119, Babakan Sari, Kiaracondong, Bandung",10.00 - 21.00,Hotpot: Teppanyaki: Steak,Asia,?,Bawa Pulang: Parkir
43,Seafood Hotplate,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-720x922-FIT_AND_TRIM-24beee9060404b639b3e8b0e78452e4e.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Prama Toserba,"Prama Toserba, Lantai 2, Jl. Babakan Sari 1 No.119, Bandung",08.00 - 21.30,Udang: Seafood,?,?,Bawa Pulang
44,Boba Brownsu D'3,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-c6ed2fbdd94def6fd52eca7e50a66b16.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Babakan Sari 1, Babakan Sari, Kiaracondong, Bandung",10.00 - 22.00,Minuman: Bubble Tea,?,?,Bawa Pulang: Parkir
45,Haus!,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-1115x720-FIT_AND_TRIM-430d1033161325e5cf10b4b32a8e0c52.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Babakan Sari,"Jl. Babakan Sari 1 No.8, Bandung",10.00 - 21.00,Minuman: Kopi: Teh,?,?,Bawa Pulang
46,Donat Madu,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-dd9bd1c6073e1660a2378eeecc063614.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Kiaracondong No. 379A, Kebun Kangkung, Kiaracondong, Bandung",08.00 - 20.00,Donat: Dessert,?,?,Bawa Pulang: Parkir
