Id,Nama,Gambar,Lokasi,Alamat,Operasional,Makanan,Masakan,Halal,Fasilitas
91,RM Tahu Sumedang Renyah,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_409-720x720-FIT_AND_TRIM-9a5ee315b0baefcfccdfaf0368ddf7c3.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Lembang,"Jl. Raya Lembang No.216, Lembang, Bandung Barat, Bandung",07.00 - 21.00,Nasi Goreng: Mie Goreng: Nasi Timbel: Tahu,Indonesia,?,Bawa Pulang: Parkir: Reservasi
92,Natural Resto and Strawberry Land,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-1056x720-FIT_AND_TRIM-ea8b360b89a060515a00e8932a530d3d.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Tangkuban Parahu No. 109, Cibogo, Lembang, Bandung Barat",09.00 - 18.00,Pecel: Ayam Goreng: Sate,Indonesia,?,Parkir
93,Dago Bakery,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-6fe089b3ac92c4cccb19184c60f1228f.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Pagermaneuh No. 57, Lembang, Bandung",09.00 - 22.00,Pizza: Sandwich: Roti: Kue,Barat: Indonesia,Ya,Parkir: Reservasi: Area Merokok
94,Cakrawala Resto,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-ed49b5ce7a7db9d7de8465538a0ffb36.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Pageumaneuh No. 57, Ciumbuleuit, Cidadap, Bandung",09.00 - 22.00,Pangsit: Mie: Steak: Pasta,Indonesia,Ya,Parkir: Wifi: Reservasi: Area Merokok
95,Tafso Barn,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x960-FIT_AND_TRIM-aabdd55cf69402bb51c4b459c2d29d11.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Lembang,"Jl. Baru Laksana No. 75, Pagerwangi, Lembang, Bandung",11.00 - 23.00,Nasi Goreng: Sushi: Nasi Uduk,Indonesia,Ya,Parkir: Wifi: Reservasi: Area Merokok
96,Tahu Susu Lembang,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-1280x591-FIT_AND_TRIM-6dec8a94cc5704b8017f87f06afd584e.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Lembang No. 177, Jayagiri, Lembang, Bandung Barat",09.00 - 21.00,Jajanan Pasar: Tahu,Indonesia,?,Bawa Pulang: Parkir
97,Omah Bamboo Restaurant at The Lodge Maribaya,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-1280x591-FIT_AND_TRIM-8b057d6380aadf36b8f433bb1ce4065f.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"The Lodge Maribaya, Jl. Maribaya No. 149 , Bandung",08.00 - 18.00,Ayam Goreng: Nasi,Sunda,?,Bawa Pulang: Parkir: Reservasi
98,The Bale Restaurant,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-39e3a34e1d21e66f916cbe306396c17d.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Mulberry Hill The Lodge,"Mulberry Hill By The Lodge, Jl. Maribaya Timur No. 1, Lembang, Bandung Barat, Bandung",07.30 - 22.00,Nasi Goreng: Pasta: Salad,Indonesia,?,Parkir: Kartu Kredit
99,Saung Pengkolan,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-e892251e62297614ba5b2bc90058d5a9.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Lembang KM. 12.3 No 35, Gudangkahuripan, Lembang, Bandung Barat",08.00 - 21.30,Ayam Bakar: Ayam Goreng: Ikan Bakar: Gulai: Ikan Goreng,Sunda,?,Bawa Pulang: Parkir: Wifi: Kartu Kredit: Kursi Bayi: Area Merokok
100,Kaki Bukit Coffee & Yard,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-d405797e8063b3a2b51a301805e8e70b.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Maribaya No. 16, Kayuambon, Lembang, Bandung Barat",08.00 - 21.00,Sandwich: Rice Bowl: Kopi: Teh,Asia,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Area Merokok
