Nama Rumah Makan,Lokasi,Alamat lengkap,Jam Operasional,Makanan,Masakan,Halal?,Fasilitas
La'rissa,Kiaracondong,"Jl. Terusan Jakarta No. 77I, Bandung",06.00 - 20.45,"Kue, Dessert",?,?,Bawa Pulang
RM. Sugih Priangan,Kiaracondong,"Jl. Terusan Jakarta No. 48, Babakan Surabaya, Kiaracondong, Bandung",08.00 - 22.00,"Ayam Goreng, Ikan Goreng, Nasi Timbel",Indonesia,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kursi Bayi, Area Merokok"
Warung Ngopi 821,Kiaracondong,"Jl. Jendral Ahmad Yani No. 821, Padasuka, Kiaracondong, Bandung",10.00 - 22.00,"Pizza, Minuman, Kopi, Teh",?,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Area Merokok"
Fat Oppa Korean BBQ,Kiaracondong,"Jl. Terusan Jakarta No.43, Bandung",11.00 - 22.00,"Bulgogi, Topokki",Jepang,?,Bawa Pulang
Juragan Pempek,Prama Toserba,"Prama Toserba, Lantai 2 Jl. Babakan Sari 1 No.119, Babakan Sari, Kiaracondong,Bandung",10.00 - 21.00,Pempek,Palembang,?,Bawa Pulang
Teh Manis Cafe,Kiaracondong,"Jl. Terusan Gatot Subroto No. 495, Kebun Kangkung, Kiaracondong, Bandung",11.00 - 23.00,"Nasi Campur, Teh, Mie Goreng, Roti Bakar",Indonesia,?,"Bawa Pulang, Parkir, Wifi"
Baso Tahu Aroma,Lucky Square,"Lucky Square, Lantai 2, Food Corner, Jl. Terusan Jakarta No. 2, Babakan Surabaya, Kiaracondong, Bandung",10.00 - 22.00,"Siomay, Bakso",Indonesia,?,"Bawa Pulang, Parkir"
Mechanic Coffee,Kiaracondong,"Jl. Babakan Sari 1 No.4, Babakan Sari, Kiaracondong, Bandung",09.00 - 21.00,"Minuman, Kopi, Teh",?,?,"Bawa Pulang, Parkir, Wifi, Area Merokok"
Cheese Chicken,Kiaracondong,"Jl. Purwakarta No.14, Babakan Surabaya, Kiaracondong, Bandung",08.00 - 21.00,Ayam Goreng Tepung,Barat,?,"Bawa Pulang, Parkir, Wifi"
Martabak Sakura 168,Kiaracondong,"Jl. Ibrahim Adjie No. 250, Kebun Kangkung, Kiaracondong, Bandung",09.00 - 22.15,"Dessert, Martabak",?,?,"Bawa Pulang, Parkir"
Kedai Coger BlazBluz,Kiaracondong,"l. Babakan Sari 1 No.11, Babakan Sari, Kiaracondong, Bandung",13.00 - 23.00,"Minuman, Kopi, Teh",?,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Area Merokok"
Kabobs,Kiaracondong,"Jl. Ibrahim Adjie No. 372A, Binong, Batununggal, Bandung",10.00 - 22.00,Kebab,Turki,?,"Bawa Pulang, Parkir, Wifi"
Mana Cafe,Dago,"Jl. Cibengang No. 17, Bandung",14.00 - 21.00,"Ayam Goreng, Bakso, Nasi Goreng, Kentang Goreng, Kopi, Teh",Indonesia,Ya,"Bawa Pulang, Parkir, Wifi, Reservasi, Area Merokok"
Yagami Ramen House,Coblong,"Jl. Ir H Djuanda No 185, Dago, Coblong, Bandung",10.00 - 22.00,Ramen,Asia,?,"Bawa Pulang, Parkir"
The Harvest,Dago,"Jl. Ir. H. Djuanda No. 15, Bandung",08.00 - 22.00,"Kue, Dessert",?,?,"Bawa Pulang, Parkir, Kartu Kredit"
District Cafe,Dago Atas,"l. Ir. H. Juanda No.339, Bandung",11.00 - 00.00,"Kopi, Teh, Es Krim",Indonesia,?,Bawa Pulang
Swiss Kitchen at Swiss-Belresort,Dago Atas,"Swiss-Belresort Dago Heritage, Lantai Lobby, Jl. Lapangan Golf Dago Atas No. 78, Cigadung, Cibeunying Kaler, Bandung",06.00 - 22.00,"Sushi, Mac and Cheese","Barat, Jepang",?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Area Merokok"
Warung Pasta,Dago,"Jl. Ganeca No.4, Bandung",07.00 - 23.00,"Pizza, Pasta",Italia,?,"Bawa Pulang, Parkir, Reservasi, Kartu Kredit, Area Merokok"
Coco Rico,Dago Atas,"Jl. Bukit Pakar Timur No. 19, Bandung",09.00 - 23.00,"BBQ, Ayam Goreng, Nasi Goreng, Steak, Pasta",Barat,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Roda, Area Merokok"
Sierra Cafe & Lounge,Dago Atas,"Jl. Bukit Pakar No. 33, Bandung",15.00 - 21.00,"Iga, Ayam Goreng, Daging, Pasta, Nasi, Sup","Asia, Barat",?,"Bawa Pulang, Reservasi"
The Parlor,Dago Atas,"Jl. Raya Ranca Kendal Luhur No.9, Gerbang Dago Resort Dago Atas, Bandung",13.00 - 21.00,"Rice Bowl, Ayam Goreng, Steak, Salad","Asia, Barat, Indonesia",?,"Bawa Pulang, Parkir, Wifi, Kartu Kredit, Kursi Roda, Area Merokok"
The Peak Connoisseurs at Swissbell,Resort Dago,"Swissbell-Resort Dago, Jl. Raya Golf Dago No.78, Bandung",10.00 - 23.59,"Minuman, Wine, Soju, Bir",?,?,"Bawa Pulang, Kartu Kredit"
Cafe D'Pakar Bandung,Dago,"Jl. Dago Pakar Utara, Sekejolang, Bandung",11.00 - 18.00,"Ayam Goreng, Mie, Mie Goreng, Roti Bakar","Asia, Indonesia",?,"Bawa Pulang, Parkir, Wifi, Area Merokok"
Skyline Best View Resto,Dago,"Jl. Bukit Pakar Timur No. 108, Bandung",10:00 - 23:00,"Iga, Steak, Pasta, Nasi","Eropa, Asia, Barat, Indonesia",,"Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Area Merokok"
Grind Joe Coffee,Dago,"Hotel Moxy, Jl. Ir. H.Djuanda No. 69, Bandung",10.00 - 22.00,"Camilan, Kopi, Teh",?,?,"Bawa Pulang, Parkir, Reservasi, Kartu Kredit"
Gyu Kaku,Bandung Wetan,"Jl. Pangeran Kornel No. 7, Bandung",10.00 - 18.00,BBQ,Jepang,?,"Wifi, Reservasi, Kartu Kredit"
Ngopi Doeloe,Dago Atas,"Jl. Sangkuriang, Dago, Coblong, Bandung",09.00 - 23.00,"Tongseng, Steak, Daging Sapi, Roti Bakar",Indonesia,?,Bawa Pulang
Eat Boss,Dago,"Jl. Ir. H. Juanda No.72, Bandung",10.00 - 22.00,"Nasi Goreng, Sate, Mac and Cheese","Barat, Indonesia",?,Bawa Pulang
